                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4747,                 3.0464,                 1.8756,                0.00426,                0.12273,                0.00777,                0.00153,                 3.4021,                 3.8553,                 2.9998,                0.00032,                0.00032,                0.00032
                      2,                 1.5203,                 1.2821,                 1.2034,                0.01074,                 0.3095,                0.04233,                 0.0192,                  3.012,                 3.5772,                 2.4274,             0.00065406,             0.00065406,             0.00065406
                      3,                 1.2882,                0.98544,                 1.0684,                0.89171,                 0.4365,                0.59465,                0.37611,                  1.636,                 2.2912,                 1.4133,               0.000982,               0.000982,               0.000982
                      4,                 1.2013,                0.88039,                 1.0321,                0.81092,                0.79616,                0.85381,                0.54247,                 1.2444,                 1.2969,                  1.054,              0.0013038,              0.0013038,              0.0013038
                      5,                 1.1893,                 0.8364,                 1.0207,                 0.8159,                0.89864,                0.92757,                0.63434,                 1.1513,                0.82269,                  1.009,              0.0016195,              0.0016195,              0.0016195
                      6,                 1.1967,                0.82838,                 1.0177,                0.85819,                0.89771,                0.94699,                0.65835,                 1.1079,                0.77871,                 0.9985,                0.00191,                0.00191,                0.00191
                      7,                 1.1505,                0.77276,                  1.005,                0.89938,                0.84845,                0.94293,                0.64752,                 1.1051,                0.77799,                0.98484,                0.00191,                0.00191,                0.00191
                      8,                   1.12,                0.73851,                0.99235,                0.84082,                0.90195,                0.93617,                 0.6562,                 1.0902,                0.80046,                0.98962,               0.001892,               0.001892,               0.001892
                      9,                 1.1056,                0.72057,                0.98219,                0.80637,                0.92891,                0.91199,                 0.6299,                 1.1017,                0.72422,                0.98657,               0.001874,               0.001874,               0.001874
                     10,                 1.0941,                0.71147,                0.97898,                0.90708,                0.89434,                0.96426,                 0.6839,                 1.0444,                0.69647,                 0.9692,               0.001856,               0.001856,               0.001856
                     11,                 1.0963,                0.69328,                0.98267,                0.84696,                0.92102,                0.95419,                0.66771,                 1.0905,                0.76842,                0.98552,               0.001838,               0.001838,               0.001838
                     12,                 1.0833,                0.67913,                0.98679,                0.86515,                0.91068,                0.95219,                0.67423,                 1.0422,                0.64868,                0.96404,                0.00182,                0.00182,                0.00182
                     13,                 1.0823,                0.66332,                 0.9702,                0.89951,                0.89801,                0.95265,                0.68503,                 1.0236,                0.66462,                0.95267,               0.001802,               0.001802,               0.001802
                     14,                  1.081,                0.66409,                0.97698,                0.88888,                0.90715,                0.95506,                0.66958,                  1.055,                 0.6303,                0.96686,               0.001784,               0.001784,               0.001784
                     15,                 1.0608,                0.65359,                0.97205,                0.88559,                0.88794,                0.95226,                0.67111,                 1.0676,                0.64486,                 0.9716,               0.001766,               0.001766,               0.001766
                     16,                 1.0619,                0.62007,                0.96776,                0.87846,                 0.9102,                0.95207,                0.67146,                 1.0479,                0.64591,                0.96926,               0.001748,               0.001748,               0.001748
                     17,                 1.0584,                0.63561,                0.97566,                0.86321,                0.90916,                0.93577,                0.65657,                 1.0435,                0.63762,                0.96807,                0.00173,                0.00173,                0.00173
                     18,                 1.0453,                0.61778,                0.96853,                0.88848,                 0.9268,                0.96073,                0.67626,                 1.0666,                0.61656,                0.97015,               0.001712,               0.001712,               0.001712
                     19,                 1.0276,                0.60588,                0.95922,                0.85289,                0.91889,                0.94566,                0.66111,                 1.0914,                 0.6664,                0.98256,               0.001694,               0.001694,               0.001694
                     20,                 1.0334,                0.61629,                 0.9652,                0.87581,                 0.9349,                0.95929,                0.69535,                0.99168,                0.60553,                0.95008,               0.001676,               0.001676,               0.001676
                     21,                 1.0225,                0.58967,                0.95897,                 0.9112,                0.92209,                0.97036,                0.71018,                 1.0081,                0.54977,                0.95036,               0.001658,               0.001658,               0.001658
                     22,                  1.016,                0.58112,                0.95201,                0.88866,                0.92529,                0.96437,                0.70819,                 1.0069,                0.56067,                 0.9501,                0.00164,                0.00164,                0.00164
                     23,                 1.0083,                0.57545,                0.95531,                0.87646,                0.90859,                0.94991,                0.69645,                 1.0039,                0.60023,                0.95993,               0.001622,               0.001622,               0.001622
                     24,                0.99776,                0.57604,                  0.953,                0.89827,                0.93297,                0.97136,                0.70869,                  1.008,                0.55176,                0.94641,               0.001604,               0.001604,               0.001604
                     25,                 1.0008,                0.56755,                0.94637,                0.91648,                0.91346,                0.97427,                0.71084,                 0.9958,                0.59562,                0.95141,               0.001586,               0.001586,               0.001586
                     26,                0.99382,                0.56666,                0.95587,                 0.9111,                0.92966,                0.96947,                0.71557,                0.99397,                 0.5463,                0.95065,               0.001568,               0.001568,               0.001568
                     27,                0.98194,                0.56907,                0.94342,                0.90055,                 0.9349,                0.97118,                0.71559,                0.97476,                0.53548,                0.94186,                0.00155,                0.00155,                0.00155
                     28,                0.98879,                0.55611,                0.94369,                0.92064,                0.90822,                0.97004,                0.71554,                0.97263,                0.52431,                0.94015,               0.001532,               0.001532,               0.001532
                     29,                 0.9749,                0.54424,                0.94618,                0.89582,                0.93276,                0.96656,                0.71037,                 1.0042,                0.54066,                0.95082,               0.001514,               0.001514,               0.001514
                     30,                0.98762,                0.55247,                0.94594,                0.89917,                0.94222,                0.97287,                0.71781,                  0.978,                0.53467,                0.94704,               0.001496,               0.001496,               0.001496
                     31,                0.97523,                 0.5412,                0.93974,                0.91565,                0.92677,                0.97456,                0.71577,                   0.99,                0.52112,                0.94985,               0.001478,               0.001478,               0.001478
                     32,                0.99045,                0.55717,                0.95315,                0.89409,                0.92636,                0.96295,                0.72616,                0.95885,                0.52387,                0.94525,                0.00146,                0.00146,                0.00146
                     33,                0.96418,                0.53949,                0.93725,                0.91704,                0.92316,                0.97032,                0.71835,                0.96215,                0.51339,                0.94148,               0.001442,               0.001442,               0.001442
                     34,                0.96022,                0.54357,                0.94232,                0.92812,                 0.9233,                0.97477,                0.71477,                 1.0156,                0.53307,                0.95097,               0.001424,               0.001424,               0.001424
                     35,                0.96666,                0.54637,                0.94153,                0.89095,                 0.9317,                0.97063,                0.70661,                0.97799,                0.53794,                0.94627,               0.001406,               0.001406,               0.001406
                     36,                0.96354,                0.54209,                0.93511,                0.90923,                 0.9408,                0.97316,                0.72497,                0.97375,                0.51514,                0.94162,               0.001388,               0.001388,               0.001388
