"class","y","x"
"mean","0.724","0"
"mean","0.867","0.01"
"mean","0.89","0.02"
"mean","0.9","0.03"
"mean","0.905","0.04"
"mean","0.91","0.051"
"mean","0.913","0.061"
"mean","0.918","0.071"
"mean","0.919","0.081"
"mean","0.919","0.091"
"mean","0.919","0.101"
"mean","0.921","0.111"
"mean","0.923","0.121"
"mean","0.924","0.131"
"mean","0.925","0.141"
"mean","0.927","0.152"
"mean","0.928","0.162"
"mean","0.929","0.172"
"mean","0.926","0.182"
"mean","0.927","0.192"
"mean","0.928","0.202"
"mean","0.928","0.212"
"mean","0.927","0.222"
"mean","0.927","0.232"
"mean","0.926","0.242"
"mean","0.926","0.253"
"mean","0.926","0.263"
"mean","0.925","0.273"
"mean","0.925","0.283"
"mean","0.925","0.293"
"mean","0.925","0.303"
"mean","0.925","0.313"
"mean","0.927","0.323"
"mean","0.927","0.333"
"mean","0.925","0.343"
"mean","0.923","0.354"
"mean","0.923","0.364"
"mean","0.921","0.374"
"mean","0.921","0.384"
"mean","0.921","0.394"
"mean","0.921","0.404"
"mean","0.92","0.414"
"mean","0.918","0.424"
"mean","0.918","0.434"
"mean","0.917","0.444"
"mean","0.918","0.455"
"mean","0.917","0.465"
"mean","0.916","0.475"
"mean","0.916","0.485"
"mean","0.916","0.495"
"mean","0.915","0.505"
"mean","0.915","0.515"
"mean","0.915","0.525"
"mean","0.912","0.535"
"mean","0.91","0.545"
"mean","0.909","0.556"
"mean","0.906","0.566"
"mean","0.905","0.576"
"mean","0.904","0.586"
"mean","0.902","0.596"
"mean","0.899","0.606"
"mean","0.896","0.616"
"mean","0.896","0.626"
"mean","0.895","0.636"
"mean","0.894","0.646"
"mean","0.892","0.657"
"mean","0.889","0.667"
"mean","0.887","0.677"
"mean","0.883","0.687"
"mean","0.878","0.697"
"mean","0.875","0.707"
"mean","0.871","0.717"
"mean","0.866","0.727"
"mean","0.862","0.737"
"mean","0.857","0.747"
"mean","0.851","0.758"
"mean","0.845","0.768"
"mean","0.835","0.778"
"mean","0.821","0.788"
"mean","0.805","0.798"
"mean","0.791","0.808"
"mean","0.77","0.818"
"mean","0.74","0.828"
"mean","0.703","0.838"
"mean","0.657","0.848"
"mean","0.601","0.859"
"mean","0.524","0.869"
"mean","0.427","0.879"
"mean","0.27","0.889"
"mean","0.149","0.899"
"mean","0.056","0.909"
"mean","0.031","0.919"
"mean","0.027","0.929"
"mean","0.021","0.939"
"mean","0.014","0.949"
"mean","0.007","0.96"
"mean","0","0.97"
"mean","0","0.98"
"mean","0","0.99"
"mean","0","1"
"Vehicle","0.724","0"
"Vehicle","0.867","0.01"
"Vehicle","0.89","0.02"
"Vehicle","0.9","0.03"
"Vehicle","0.905","0.04"
"Vehicle","0.91","0.051"
"Vehicle","0.913","0.061"
"Vehicle","0.918","0.071"
"Vehicle","0.919","0.081"
"Vehicle","0.919","0.091"
"Vehicle","0.919","0.101"
"Vehicle","0.921","0.111"
"Vehicle","0.923","0.121"
"Vehicle","0.924","0.131"
"Vehicle","0.925","0.141"
"Vehicle","0.927","0.152"
"Vehicle","0.928","0.162"
"Vehicle","0.929","0.172"
"Vehicle","0.926","0.182"
"Vehicle","0.927","0.192"
"Vehicle","0.928","0.202"
"Vehicle","0.928","0.212"
"Vehicle","0.927","0.222"
"Vehicle","0.927","0.232"
"Vehicle","0.926","0.242"
"Vehicle","0.926","0.253"
"Vehicle","0.926","0.263"
"Vehicle","0.925","0.273"
"Vehicle","0.925","0.283"
"Vehicle","0.925","0.293"
"Vehicle","0.925","0.303"
"Vehicle","0.925","0.313"
"Vehicle","0.927","0.323"
"Vehicle","0.927","0.333"
"Vehicle","0.925","0.343"
"Vehicle","0.923","0.354"
"Vehicle","0.923","0.364"
"Vehicle","0.921","0.374"
"Vehicle","0.921","0.384"
"Vehicle","0.921","0.394"
"Vehicle","0.921","0.404"
"Vehicle","0.92","0.414"
"Vehicle","0.918","0.424"
"Vehicle","0.918","0.434"
"Vehicle","0.917","0.444"
"Vehicle","0.918","0.455"
